Date,temperatur_emax(°C),prec_sum (mm),rain_sum (mm)
2017-11-18,7.8,0.00,0.00
2017-11-19,6.1,2.70,2.70
2017-11-20,7.3,0.00,0.00
2017-11-21,8.0,9.90,9.80
2017-11-22,13.9,0.50,0.50
2017-11-23,6.5,0.00,0.00
2017-11-24,5.8,0.00,0.00
2017-11-25,10.9,0.80,0.80
2017-11-26,7.0,2.40,2.40
2017-11-27,6.0,0.00,0.00
2017-11-28,5.6,0.00,0.00
2017-11-29,3.7,7.20,3.60
2017-11-30,1.9,12.70,1.50
2017-12-01,1.7,0.00,0.00
2017-12-02,-0.1,0.00,0.00
2017-12-03,1.2,0.00,0.00
2017-12-04,2.7,1.60,1.20
2017-12-05,5.0,3.00,2.70
2017-12-06,6.4,0.00,0.00
2017-12-07,4.9,0.00,0.00
2017-12-08,2.9,1.70,1.70
2017-12-09,2.9,0.00,0.00
2017-12-10,4.0,0.00,0.00
2017-12-11,12.7,0.00,0.00
2017-12-12,13.0,0.80,0.80
2017-12-13,5.3,0.30,0.30
2017-12-14,6.8,0.10,0.10
2017-12-15,6.6,1.30,1.30
2017-12-16,5.0,0.00,0.00
2017-12-17,4.4,0.00,0.00
2017-12-18,2.2,0.00,0.00
2017-12-19,0.5,0.00,0.00
2017-12-20,1.5,0.00,0.00
2017-12-21,4.4,6.10,6.10
2017-12-22,7.0,0.00,0.00
2017-12-23,9.0,0.00,0.00
2017-12-24,10.2,0.00,0.00
2017-12-25,8.5,0.00,0.00
2017-12-26,2.3,0.00,0.00
2017-12-27,9.4,1.00,1.00
2017-12-28,8.9,12.60,10.90
2017-12-29,4.0,4.20,0.90
2017-12-30,2.5,0.30,0.30
2017-12-31,11.8,10.00,10.00
2018-01-01,7.1,0.00,0.00
2018-01-02,7.9,0.00,0.00
2018-01-03,6.6,4.40,4.40
2018-01-04,9.3,0.90,0.90
2018-01-05,9.1,6.70,6.70
2018-01-06,7.7,0.00,0.00
2018-01-07,8.7,0.00,0.00
2018-01-08,7.2,0.80,0.80
2018-01-09,7.8,0.10,0.10
2018-01-10,6.5,9.80,9.80
2018-01-11,6.3,0.00,0.00
2018-01-12,5.5,0.40,0.40
2018-01-13,3.6,0.20,0.20
2018-01-14,1.4,1.30,0.10
2018-01-15,0.1,0.00,0.00
2018-01-16,2.9,2.80,2.10
2018-01-17,4.4,2.90,2.60
2018-01-18,6.0,2.10,0.80
2018-01-19,6.5,2.70,2.70
2018-01-20,3.8,2.10,1.00
2018-01-21,2.6,1.00,0.20
2018-01-22,1.5,0.60,0.00
2018-01-23,3.5,2.00,0.10
2018-01-24,5.2,0.00,0.00
2018-01-25,5.1,0.00,0.00
2018-01-26,3.1,0.00,0.00
2018-01-27,3.2,0.10,0.10
2018-01-28,8.9,0.00,0.00
2018-01-29,15.3,0.00,0.00
2018-01-30,10.2,0.50,0.50
2018-01-31,7.0,0.00,0.00
2018-02-01,6.2,2.20,2.20
2018-02-02,5.3,1.40,1.40
2018-02-03,3.7,0.00,0.00
2018-02-04,4.8,0.00,0.00
2018-02-05,2.9,0.00,0.00
2018-02-06,1.4,0.00,0.00
2018-02-07,1.1,7.90,1.50
2018-02-08,1.9,5.10,0.90
2018-02-09,2.9,0.00,0.00
2018-02-10,0.8,0.00,0.00
2018-02-11,4.4,0.00,0.00
2018-02-12,4.7,1.10,1.10
2018-02-13,2.0,2.80,1.50
2018-02-14,3.2,0.50,0.00
2018-02-15,4.0,0.00,0.00
2018-02-16,3.0,2.60,0.50
2018-02-17,1.5,2.20,0.20
2018-02-18,4.2,2.10,0.10
2018-02-19,2.9,0.00,0.00
2018-02-20,1.2,3.90,0.60
2018-02-21,2.2,0.20,0.00
2018-02-22,3.5,0.30,0.00
2018-02-23,2.1,0.00,0.00
2018-02-24,0.5,0.00,0.00
2018-02-25,-3.7,0.00,0.00
2018-02-26,-4.2,0.00,0.00
2018-02-27,-6.2,0.00,0.00
2018-02-28,-4.7,0.00,0.00
2018-03-01,-4.1,0.00,0.00
2018-03-02,-3.9,0.90,0.00
2018-03-03,0.3,0.00,0.00
2018-03-04,2.0,0.00,0.00
2018-03-05,0.9,0.20,0.00
2018-03-06,2.2,3.90,0.90
2018-03-07,10.8,0.00,0.00
2018-03-08,11.6,2.00,2.00
2018-03-09,10.2,0.20,0.20
2018-03-10,13.8,0.00,0.00
2018-03-11,15.8,0.00,0.00
2018-03-12,15.2,8.20,8.20
2018-03-13,15.2,0.10,0.10
2018-03-14,10.0,0.00,0.00
2018-03-15,7.6,0.00,0.00
2018-03-16,9.4,8.60,8.60
2018-03-17,5.6,3.30,3.30
2018-03-18,1.0,0.50,0.00
2018-03-19,-0.6,0.40,0.00
2018-03-20,1.2,1.70,0.00
2018-03-21,4.2,0.00,0.00
2018-03-22,6.2,0.00,0.00
2018-03-23,6.8,0.00,0.00
2018-03-24,9.4,0.00,0.00
2018-03-25,5.8,0.00,0.00
2018-03-26,8.6,0.30,0.30
2018-03-27,9.2,0.40,0.40
2018-03-28,10.5,0.50,0.50
2018-03-29,11.7,2.60,2.60
2018-03-30,11.8,1.00,1.00
2018-03-31,14.6,2.00,2.00
2018-04-01,12.1,3.80,3.80
2018-04-02,14.0,0.10,0.10
2018-04-03,19.4,0.00,0.00
2018-04-04,18.9,0.00,0.00
2018-04-05,15.7,0.00,0.00
2018-04-06,13.1,0.00,0.00
2018-04-07,15.3,0.00,0.00
2018-04-08,20.7,0.00,0.00
2018-04-09,24.9,0.00,0.00
2018-04-10,17.7,0.40,0.40
2018-04-11,20.6,0.00,0.00
2018-04-12,24.3,0.20,0.20
2018-04-13,21.3,4.50,4.50
2018-04-14,21.5,0.00,0.00
2018-04-15,23.1,0.20,0.20
2018-04-16,19.3,2.40,2.40
2018-04-17,21.1,0.00,0.00
2018-04-18,22.4,0.00,0.00
2018-04-19,25.6,0.00,0.00
2018-04-20,26.0,0.00,0.00
2018-04-21,27.6,0.00,0.00
2018-04-22,27.1,0.00,0.00
2018-04-23,27.1,3.10,3.10
2018-04-24,23.7,0.70,0.70
2018-04-25,26.8,0.00,0.00
2018-04-26,18.8,7.00,7.00
2018-04-27,19.0,0.00,0.00
2018-04-28,25.3,0.00,0.00
2018-04-29,29.0,0.00,0.00
2018-04-30,27.4,0.00,0.00
2018-05-01,23.5,0.00,0.00
2018-05-02,27.4,2.40,2.40
2018-05-03,27.9,0.00,0.00
2018-05-04,25.2,0.00,0.00
2018-05-05,24.2,0.00,0.00
2018-05-06,24.3,0.00,0.00
2018-05-07,25.8,0.00,0.00
2018-05-08,24.0,1.10,1.10
2018-05-09,24.4,4.10,4.10
2018-05-10,25.0,3.30,3.30
